Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/create/electricity/,2,0,10,10.303996999937226,9.720218000438763,10.88777599943569,104.0,0.5518084823945858,0.0,11,11,11,11,11,11,11,11,11,11,11
POST,/api/create/flight/,3,0,9,8.91884866602292,8.329904998390703,9.803127999475691,144.0,0.8277127235918786,0.0,9,9,10,10,10,10,10,10,10,10,10
POST,/api/create/fuel/,2,0,11.339298001985298,21.05238200056192,11.339298001985298,30.76546599913854,120.0,0.5518084823945858,0.0,31,31,31,31,31,31,31,31,31,31,31
POST,/api/create/shipping/,4,0,10,15.680001499276841,6.204064997291425,34.92239099796279,135.0,1.1036169647891716,0.0,12,12,35,35,35,35,35,35,35,35,35
POST,/api/get/estimate/electricity/,2,0,69,74.99058800021885,68.74908799727564,81.23208800316206,280.0,0.5518084823945858,0.0,81,81,81,81,81,81,81,81,81,81,81
POST,/api/get/estimate/flight/,3,0,53,54.67761900096472,49.52100000082282,61.44838800173602,88.0,0.8277127235918786,0.0,53,53,61,61,61,61,61,61,61,61,61
POST,/api/get/estimate/fuel/,2,0,60,81.05505449930206,59.6079409988306,102.50216799977352,299.0,0.5518084823945858,0.0,100,100,100,100,100,100,100,100,100,100,100
POST,/api/get/estimate/shipping/,4,0,59,70.2701119989797,54.258037998806685,98.93750999981421,305.0,1.1036169647891716,0.0,69,69,99,99,99,99,99,99,99,99,99
,Aggregated,22,0,35,41.33608636336496,6.204064997291425,102.50216799977352,184.63636363636363,6.069893306340443,0.0,50,59,61,69,81,99,100,100,100,100,100
